date_iso,event_name,event_type,segment_tags,country,state,city,recurrence,priority_0_100,risk_weight_0_100,window_key,window_phase,locality_scope,content_angles,default_cta,platform_fit,notes,source_hint
2026-01-01,Confraternizacao Universal,official,all|institucional|varejo,BR,,,annual,100,85,CONFRATERNIZACAO_UNIVERSAL,peak,national,mensagem institucional|servico|horarios|comunidade,Saiba mais,Instagram|LinkedIn,Feriado nacional,Feriados nacionais (Brasil)
2026-01-01,Confraternização Universal,official,feriado|internacional|institucional|oficial|mundial|paz,BR,,,annual,90,95,CONFRATERNIZA_O_UNIVERSAL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-01,Ano Novo,official,feriado|internacional|institucional|oficial|mundial|paz,BR,,,annual,90,95,ANO_NOVO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-01,Dia Mundial da Paz,official,feriado|internacional|institucional|oficial|mundial|paz,BR,,,annual,90,95,DIA_MUNDIAL_DA_PAZ,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-02,SUMMER_SALE_2026 (janela),retail,varejo|promo|sazonal,BR,,,annual,70,70,SUMMER_SALE_2026,pre,national,conscientizacao|servico|conteudo educativo|acao social,Saiba mais,Instagram|LinkedIn,Janela mensal/sazonal,Gerador Edro (sazonal)
2026-01-02,Dia do Sanitarista,behavior,profissão|comportamental|saúde|personalidade,BR,,,annual,45,50,DIA_DO_SANITARISTA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-02,Dia Mundial dos Introvertidos,behavior,profissão|comportamental|saúde|personalidade,BR,,,annual,45,50,DIA_MUNDIAL_DOS_INTROVERTIDOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-03,Dia do Hemofílico,behavior,saúde|profissão|medicina|justiça,BR,,,annual,45,50,DIA_DO_HEMOF_LICO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-03,Dia da Abreugrafia,behavior,saúde|profissão|medicina|justiça,BR,,,annual,45,50,DIA_DA_ABREUGRAFIA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-03,Dia do Juiz de Menores,behavior,saúde|profissão|medicina|justiça,BR,,,annual,45,50,DIA_DO_JUIZ_DE_MENORES,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-04,Dia Mundial do Braile,behavior,acessibilidade|saúde|inclusão|medicina,BR,,,annual,45,50,DIA_MUNDIAL_DO_BRAILE,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-04,Dia da Abreugrafia,behavior,acessibilidade|saúde|inclusão|medicina,BR,,,annual,45,50,DIA_DA_ABREUGRAFIA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-05,Dia Nacional da Tipografia,behavior,profissão|histórico|design|gráfica,BR,,,annual,45,50,DIA_NACIONAL_DA_TIPOGRAFIA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-05,Criação da 1ª Tipografia no Brasil,behavior,profissão|histórico|design|gráfica,BR,,,annual,45,50,CRIA_O_DA_1_TIPOGRAFIA_NO_BRASIL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-05,Janela de salario (aprox.),behavior,varejo|promo|planejamento,BR,,,monthly,30,25,PAYDAY_2026_01,peak,national,planejamento|lista de compras|economia,Ver ofertas,MetaAds|GoogleAds,Heuristica (varia por empresa),Gerador Edro (heuristica)
2026-01-06,Dia de Reis,cultural,religioso|direitos|comportamental|católico|liberdade|valores,BR,,,annual,60,65,DIA_DE_REIS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-06,Dia da Liberdade de Culto,cultural,religioso|direitos|comportamental|católico|liberdade|valores,BR,,,annual,60,65,DIA_DA_LIBERDADE_DE_CULTO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-06,Dia da Gratidão,cultural,religioso|direitos|comportamental|católico|liberdade|valores,BR,,,annual,60,65,DIA_DA_GRATID_O,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-07,Dia da Liberdade de Cultos,cultural,direitos|religioso|liberdade|fé,BR,,,annual,60,65,DIA_DA_LIBERDADE_DE_CULTOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-08,Dia da Fotografia,behavior,profissão|arte|visual|criativo,BR,,,annual,45,50,DIA_DA_FOTOGRAFIA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-08,Dia do Fotógrafo,behavior,profissão|arte|visual|criativo,BR,,,annual,45,50,DIA_DO_FOT_GRAFO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-09,Dia do Fico,behavior,histórico|profissão|brasil|espaço,BR,,,annual,45,50,DIA_DO_FICO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-09,Dia do Astronauta,behavior,histórico|profissão|brasil|espaço,BR,,,annual,45,50,DIA_DO_ASTRONAUTA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-10,Festa de São Gonçalo do Amarante,cultural,religioso|católico|santo,BR,,,annual,60,65,FESTA_DE_S_O_GON_ALO_DO_AMARANTE,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-11,Dia do Controle da Poluição por Agrotóxicos,behavior,ambiental|comportamental|sustentabilidade|gratidão,BR,,,annual,45,50,DIA_DO_CONTROLE_DA_POLUI_O_POR_AGROT_XICOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-11,Dia Internacional do Obrigado,behavior,ambiental|comportamental|sustentabilidade|gratidão,BR,,,annual,45,50,DIA_INTERNACIONAL_DO_OBRIGADO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-12,Dia do Empresário Contábil,behavior,profissão|contabilidade|negócios,BR,,,annual,45,50,DIA_DO_EMPRES_RIO_CONT_BIL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-13,Dia Internacional do Leonismo,behavior,institucional|solidariedade|serviço|comunidade,BR,,,annual,45,50,DIA_INTERNACIONAL_DO_LEONISMO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-14,Dia do Sargento,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_DO_SARGENTO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-14,Dia do Treinador de Futebol,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_DO_TREINADOR_DE_FUTEBOL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-14,Dia Internacional da Pipa,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_INTERNACIONAL_DA_PIPA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-14,Dia do Enfermo,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_DO_ENFERMO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-15,Dia do Compositor,behavior,arte|comportamental|música|maturidade,BR,,,annual,45,50,DIA_DO_COMPOSITOR,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
2026-01-15,Dia dos Adultos,behavior,arte|comportamental|música|maturidade,BR,,,annual,45,50,DIA_DOS_ADULTOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias
